% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	1	1	1	1	4	978	1032779	976	1030667	0.003	0	0.003	0.003	1056.01	90.2554	81	2196	
1	2	1	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
2	3	1	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
3	4	1	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
4	5	1	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
5	6	1	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
6	7	2	1	1	4	996	1055768	986	1042283	0.003	0	0.003	0.003	1057.08	95.8868	81	2196	
7	8	2	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
8	9	2	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
9	10	2	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
10	11	2	1	1	4	1000	1056000	1000	1056000	0.003	0	0.003	0.003	1056	0	1056	1056	
11	12	2	1	1	4	539	569184	538	568128	0.003	0	0.003	0.003	1056	0	1056	1056	
